iter	RMSE
0	787.7368401
1	787.6625948
2	787.5273687
3	787.4019862
4	787.3137329
5	787.2455356
6	787.1453958
7	787.0455967
8	786.9358561
9	786.8541246
10	786.7777029
11	786.6843846
12	786.6294837
13	786.5902942
14	786.5431375
15	786.4675725
16	786.3908315
17	786.3197916
18	786.290137
19	786.2481527
20	786.1824852
21	786.1159425
22	786.0406707
23	786.0195848
24	785.9683835
25	785.8810592
26	785.7832997
27	785.7656025
28	785.6772688
29	785.6132157
30	785.5487694
31	785.5005986
32	785.4859734
33	785.4600596
34	785.3981163
35	785.3391061
36	785.2990696
37	785.2799015
38	785.2686421
39	785.2126305
40	785.1780087
41	785.1451517
42	785.087273
43	785.0808183
44	785.0577623
45	784.9773222
46	784.9277757
47	784.8865819
48	784.8456789
49	784.8165652
50	784.7652275
51	784.6927722
52	784.6722631
53	784.6676879
54	784.6600504
55	784.5965636
56	784.5527115
57	784.5060876
58	784.4684748
59	784.4543958
60	784.4204157
61	784.3944708
62	784.3905325
63	784.3589886
64	784.353565
65	784.3038499
66	784.2826171
67	784.2442019
68	784.2194453
69	784.1967181
70	784.1772862
71	784.1314371
72	784.0743406
73	784.0673516
74	784.0216794
75	784.0189333
76	783.9872004
77	783.9300719
78	783.9126564
79	783.9095717
80	783.8866239
81	783.8591939
82	783.8176975
83	783.7657812
84	783.7148723
85	783.7148722
86	783.701088
87	783.696883
88	783.6599059
89	783.6228291
90	783.6177183
91	783.5485154
92	783.5361901
93	783.5345221
94	783.5168779
95	783.5140736
96	783.482322
97	783.4517018
98	783.4363653
99	783.4101826
100	783.3944985
101	783.3944984
102	783.3930867
103	783.368896
104	783.3299919
105	783.317885
106	783.2995908
107	783.2696007
108	783.2513462
109	783.2513461
110	783.2251413
111	783.2041916
112	783.1958518
113	783.1850641
114	783.1616969
115	783.1042817
116	783.0975199
117	783.0547776
118	783.0304603
119	783.0149523
120	783.0133476
121	782.9891363
122	782.9560409
123	782.9547313
124	782.9486684
125	782.9192501
126	782.9185132
127	782.8870111
128	782.8676897
129	782.8498798
130	782.8488366
131	782.8351885
132	782.8154726
133	782.753894
134	782.7444369
135	782.7085268
136	782.6934458
137	782.666866
138	782.642786
139	782.6307026
140	782.6297601
141	782.5829728
142	782.5177681
143	782.5070037
144	782.4611101
145	782.4466483
146	782.4371926
147	782.3912049
148	782.390534
149	782.355338
150	782.3407438
151	782.3224109
152	782.2953574
153	782.251946
154	782.2384625
155	782.2355622
156	782.215993
157	782.2148673
158	782.2084523
159	782.1723935
160	782.1581974
161	782.1145813
162	782.1108853
163	782.1039921
164	782.103992
165	782.1030967
166	782.0808619
167	782.0599784
168	782.0439675
169	782.0393771
170	782.0305071
171	781.9634527
172	781.9634526
173	781.9503907
174	781.9411482
175	781.9407113
176	781.9347599
177	781.9347599
178	781.9123687
179	781.8996827
180	781.8903401
181	781.8783494
182	781.842118
183	781.8083949
184	781.7670588
185	781.7408069
186	781.6904199
187	781.6901108
188	781.6842843
189	781.6684264
190	781.6497463
191	781.6376485
192	781.6129675
193	781.5587366
194	781.5351085
195	781.5284909
196	781.5246069
197	781.5086278
198	781.4839461
199	781.4809662
200	781.4800232
201	781.4799809
202	781.4720275
203	781.4298072
204	781.4293884
205	781.4267976
206	781.364462
207	781.3318899
208	781.3183378
209	781.3052534
210	781.2844585
211	781.2725483
212	781.2673961
213	781.267396
214	781.2595907
215	781.256741
216	781.2477922
217	781.2428977
218	781.2384386
219	781.2255719
220	781.2234052
221	781.223395
222	781.2171781
223	781.2003707
224	781.1974171
225	781.1968939
226	781.1968939
227	781.1847172
228	781.1784719
229	781.1632452
230	781.1434553
231	781.1090787
232	781.104384
233	781.0937604
234	781.0879338
235	781.0879338
236	781.0587118
237	781.051229
238	781.0123513
239	780.9873686
240	780.9312969
241	780.9277073
242	780.895428
243	780.8698131
244	780.8603216
245	780.8379676
246	780.8335422
247	780.8303079
248	780.8099518
249	780.8093337
250	780.7919178
251	780.7669395
252	780.7661488
253	780.7099107
254	780.6899748
255	780.6702111
256	780.6355435
257	780.6234
258	780.6009928
259	780.5433799
260	780.4793093
261	780.4622231
262	780.4368981
263	780.4284571
264	780.3938814
265	780.3667785
266	780.3451886
267	780.3451885
268	780.3026282
269	780.2876115
270	780.2232591
271	780.2005535
272	780.1887595
273	780.1606627
274	780.1400146
275	780.1318234
276	780.1317903
277	780.1258911
278	780.1192767
279	780.1177722
280	780.1071818
281	780.1068667
282	780.1068666
283	780.0999033
284	780.0892228
285	780.0890893
286	780.0677724
287	780.0531647
288	780.0056474
289	779.9686869
290	779.9458531
291	779.9145776
292	779.9145776
293	779.9145157
294	779.8844414
295	779.8770464
296	779.8569041
297	779.852446
298	779.8291627
299	779.8262129
300	779.8213497
301	779.7695035
302	779.7264244
303	779.7154002
304	779.7032263
305	779.6530422
306	779.6530422
307	779.6234102
308	779.6092648
309	779.5507005
310	779.534533
311	779.4689707
312	779.4542145
313	779.4542144
314	779.4081301
315	779.4017362
316	779.3798057
317	779.3732221
318	779.3355436
319	779.3280301
320	779.3279872
321	779.2695235
322	779.2453321
323	779.242788
324	779.2007952
325	779.1999074
326	779.1605604
327	779.1589444
328	779.1332146
329	779.1172574
330	779.0988392
331	779.0740663
332	779.0700656
333	779.061239
334	779.0609968
335	779.0581377
336	779.0232574
337	779.0038839
338	778.9506177
339	778.9440081
340	778.9024232
341	778.8683761
342	778.8413209
343	778.8042344
344	778.7791187
345	778.7589135
346	778.739411
347	778.7304702
348	778.7066266
349	778.6901564
350	778.6896282
351	778.6224472
352	778.6185709
353	778.5909053
354	778.587228
355	778.5663846
356	778.5554306
357	778.5535953
358	778.5534342
359	778.5446666
360	778.4760723
361	778.4568036
362	778.447989
363	778.4214122
364	778.3833702
365	778.3732338
366	778.3349328
367	778.3014116
368	778.2944712
369	778.2375719
370	778.2093277
371	778.1905743
372	778.1816202
373	778.1281762
374	778.1188735
375	778.1184963
376	778.1121476
377	778.0998228
378	778.0982924
379	778.0945997
380	778.063258
381	778.0545817
382	778.0246213
383	778.0192015
384	777.9477753
385	777.8882474
386	777.8585059
387	777.8339161
388	777.8195611
389	777.7963932
390	777.7650836
391	777.7438267
392	777.7200824
393	777.7082198
394	777.7074532
395	777.6701727
396	777.6484895
397	777.6448054
398	777.6243352
399	777.6029714
400	777.5880298
401	777.5633624
402	777.5506514
403	777.5471286
404	777.4658581
405	777.4409989
406	777.4193795
407	777.4043372
408	777.3624381
409	777.3173866
410	777.3146069
411	777.2835481
412	777.2577891
413	777.2348313
414	777.2116708
415	777.1828534
416	777.1818192
417	777.1515227
418	777.083233
419	777.0671288
420	777.0625521
421	777.014188
422	776.9689333
423	776.8848934
424	776.8584541
425	776.8491005
426	776.7860998
427	776.7842249
428	776.7345455
429	776.7306095
430	776.7262849
431	776.6984762
432	776.6943323
433	776.6891226
434	776.631024
435	776.6036873
436	776.5352735
437	776.523158
438	776.5112039
439	776.4761601
440	776.4581507
441	776.4184534
442	776.3917643
443	776.3006834
444	776.2605349
445	776.2308879
446	776.1965013
447	776.1910046
448	776.1496249
449	776.1082759
450	776.0470115
451	776.007535
452	775.9408122
453	775.9367926
454	775.9235835
455	775.9135325
456	775.8779812
457	775.8687085
458	775.8248069
459	775.8191771
460	775.7752329
461	775.7036169
462	775.7034982
463	775.68883
464	775.6887811
465	775.6871092
466	775.6832224
467	775.6811352
468	775.6762497
469	775.6574167
470	775.6519946
471	775.6000094
472	775.5715736
473	775.5576036
474	775.5304443
475	775.5020047
476	775.4687509
477	775.4425541
478	775.4023654
479	775.3661845
480	775.3345832
481	775.3297769
482	775.3204438
483	775.1994484
484	775.1661795
485	775.1352867
486	775.1100557
487	775.1100025
488	775.1064864
489	775.1017535
490	775.0979332
491	775.0745734
492	775.0555132
493	775.0414297
494	775.0412759
495	774.979204
496	774.9789181
497	774.9481614
498	774.9219481
499	774.8873878
500	774.8432662
501	774.8173449
502	774.8142627
503	774.7722126
504	774.7650707
505	774.7637321
506	774.7592709
507	774.7184597
508	774.6962086
509	774.6467989
510	774.6043305
511	774.6040645
512	774.5900881
513	774.5869101
514	774.5721948
515	774.56839
516	774.5303877
517	774.4667178
518	774.4665673
519	774.4331186
520	774.4107459
521	774.3786356
522	774.3596267
523	774.2985884
524	774.2774724
525	774.2739038
526	774.2698428
527	774.2652521
528	774.2545552
529	774.2518498
530	774.2213466
531	774.2150245
532	774.1908021
533	774.1633133
534	774.1237033
535	774.1031227
536	774.1000183
537	774.0751864
538	774.0384005
539	774.015057
540	773.9846172
541	773.9765106
542	773.9442323
543	773.9329572
544	773.9126786
545	773.9092599
546	773.9091186
547	773.8895825
548	773.7773541
549	773.7590814
550	773.6995876
551	773.6257625
552	773.5901533
553	773.5774977
554	773.5656021
555	773.5646818
556	773.5151406
557	773.4944323
558	773.4762496
559	773.4449729
560	773.4334195
561	773.4074312
562	773.3367489
563	773.3261888
564	773.3261504
565	773.284203
566	773.2168746
567	773.2166971
568	773.2004855
569	773.1262032
570	773.1243557
571	773.1206452
572	773.0662581
573	773.049983
574	773.049052
575	772.9993988
576	772.9787743
577	772.9536576
578	772.9480766
579	772.9480599
580	772.9184417
581	772.8708532
582	772.8462249
583	772.7954407
584	772.792626
585	772.7913697
586	772.7864378
587	772.785184
588	772.7422944
589	772.7213444
590	772.705996
591	772.6650773
592	772.6648858
593	772.60938
594	772.5679645
595	772.5677748
596	772.560705
597	772.5497761
598	772.5148574
599	772.5146839
600	772.5058955
601	772.4826497
602	772.4421825
603	772.3961078
604	772.3622725
605	772.3609303
606	772.3607392
607	772.3572351
608	772.3559607
609	772.319373
610	772.3180276
611	772.3018759
612	772.289759
613	772.2854188
614	772.2646563
615	772.2457574
616	772.2129491
617	772.1969207
618	772.1815504
619	772.1646735
620	772.1482908
621	772.1396538
622	772.0933883
623	772.0258864
624	771.9851388
625	771.9625924
626	771.9431969
627	771.9426621
628	771.8778352
629	771.8533408
630	771.8479251
631	771.7855384
632	771.7703993
633	771.7599769
634	771.7227222
635	771.6827006
636	771.6519399
637	771.6399469
638	771.6001912
639	771.5901148
640	771.5751027
641	771.5261631
642	771.5237869
643	771.5041911
644	771.4861818
645	771.4591993
646	771.4103771
647	771.4061359
648	771.3737318
649	771.3553254
650	771.3372538
651	771.2817108
652	771.2801876
653	771.2726387
654	771.2700347
655	771.2290267
656	771.2244093
657	771.215056
658	771.2126192
659	771.1893877
660	771.187717
661	771.1859509
662	771.1842405
663	771.1810799
664	771.1577457
665	771.1567907
666	771.142321
667	771.1408319
668	771.1232851
669	771.0674523
670	771.0409501
671	771.0141227
672	771.0026756
673	770.9838699
674	770.9609088
675	770.9520013
676	770.9275112
677	770.8735051
678	770.8190001
679	770.8019133
680	770.7676045
681	770.7663916
682	770.7450506
683	770.7136716
684	770.6964115
