iter	Passed	Remaining
0	52	52721
1	94	47370
2	159	52954
3	210	52459
4	263	52433
5	314	52068
6	375	53242
7	427	53004
8	489	53883
9	541	53630
10	595	53498
11	652	53749
12	700	53208
13	731	51490
14	764	50210
15	816	50188
16	866	50093
17	919	50142
18	950	49065
19	982	48134
20	1033	48195
21	1085	48247
22	1133	48165
23	1153	46892
24	1213	47323
25	1271	47629
26	1333	48070
27	1355	47040
28	1412	47287
29	1474	47687
30	1534	47951
31	1591	48150
32	1619	47454
33	1663	47249
34	1724	47543
35	1778	47636
36	1828	47599
37	1877	47518
38	1905	46947
39	1953	46883
40	2010	47027
41	2060	46999
42	2110	46962
43	2129	46258
44	2180	46276
45	2234	46342
46	2295	46536
47	2347	46566
48	2400	46597
49	2465	46848
50	2518	46867
51	2573	46920
52	2629	46981
53	2646	46368
54	2695	46318
55	2750	46366
56	2796	46268
57	2853	46350
58	2914	46488
59	2971	46551
60	3032	46681
61	3090	46758
62	3109	46248
63	3159	46203
64	3195	45967
65	3251	46017
66	3307	46057
67	3360	46061
68	3420	46156
69	3474	46165
70	3513	45975
71	3561	45905
72	3614	45897
73	3648	45655
74	3710	45758
75	3736	45432
76	3799	45549
77	3868	45729
78	3922	45726
79	3942	45335
80	4003	45417
81	4068	45551
82	4122	45542
83	4171	45486
84	4221	45439
85	4231	44975
86	4265	44764
87	4290	44468
88	4336	44384
89	4383	44324
90	4421	44168
91	4470	44125
92	4519	44077
93	4537	43736
94	4592	43747
95	4617	43479
96	4662	43408
97	4723	43476
98	4770	43417
99	4818	43369
100	4850	43178
101	4860	42794
102	4881	42514
103	4933	42506
104	4990	42534
105	5045	42555
106	5104	42601
107	5157	42601
108	5207	42570
109	5218	42219
110	5264	42166
111	5318	42166
112	5362	42091
113	5405	42014
114	5464	42053
115	5523	42096
116	5569	42035
117	5618	41996
118	5671	41985
119	5729	42015
120	5783	42017
121	5833	41979
122	5886	41967
123	5908	41744
124	5965	41755
125	6010	41694
126	6030	41454
127	6073	41372
128	6131	41401
129	6190	41427
130	6215	41232
131	6270	41236
132	6323	41218
133	6381	41244
134	6437	41250
135	6490	41235
136	6535	41165
137	6588	41157
138	6649	41186
139	6708	41208
140	6732	41013
141	6775	40942
142	6820	40872
143	6874	40865
144	6932	40875
145	6988	40877
146	7038	40842
147	7106	40910
148	7121	40674
149	7176	40664
150	7218	40587
151	7280	40615
152	7337	40617
153	7399	40648
154	7450	40617
155	7499	40576
156	7554	40560
157	7593	40466
158	7627	40344
159	7674	40292
